,date,home_win,p_ml_away_final,r_log_win_actual_payout,r_log_win_actual_payout_adj,r_lin_win_actual_payout,r_lin_win_actual_payout_adj,log_o6_final,log_o7_final,log_o8_final,log_o6_final_adj,log_o7_final_adj,log_o8_final_adj,lin_o6_final,lin_o7_final,lin_o8_final,lin_o6_final_adj,lin_o7_final_adj,lin_o8_final_adj
29,2010-05-30,9,1703.0,266.71000000000004,1228.0400000000002,368.34000000000003,767.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,2010-05-31,6,2701.0,-1656.7900000000002,-8271.59,1945.57,9425.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,2010-06-01,22,2355.0,1423.3600000000004,6615.35,-1635.27,-8945.199999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,2010-06-02,10,748.0,366.18999999999994,1714.2800000000002,393.06,498.3499999999999,120.0,84.75,-5.659999999999997,120.0,169.49,371.7,120.0,-100.0,-7.409999999999997,120.0,-200.0,-407.40999999999997
33,2010-06-03,6,998.0,-13.399999999999991,135.32000000000008,11.269999999999996,159.98999999999998,0.0,118.0,0.0,0.0,118.0,0.0,0.0,118.0,0.0,0.0,118.0,0.0
34,2010-06-04,5,-316.0,592.17,1608.08,592.17,1608.08,0.0,92.59,-200.0,0.0,392.59000000000003,-700.0,0.0,-300.0,4.0,0.0,-800.0,320.0
35,2010-06-05,7,240.0,183.36,418.70000000000005,-169.97000000000003,-308.85999999999996,96.15,188.95999999999998,214.59,384.62,596.96,549.19,96.15,2.0,205.03,384.62,410.0,783.03
36,2010-06-06,7,-384.0,57.73999999999995,464.60000000000014,70.85000000000001,659.9399999999999,0.0,219.09,-100.0,0.0,657.26,-500.0,0.0,-2.9099999999999966,78.12,0.0,-8.740000000000009,390.62
37,2010-06-07,0,3.0,-62.03999999999999,-322.18,262.93,926.79,0.0,0.0,-100.0,0.0,0.0,-100.0,0.0,0.0,-100.0,0.0,0.0,-100.0
38,2010-06-08,7,553.0,497.47999999999996,1101.88,672.59,2140.31,0.0,0.0,448.96000000000004,0.0,0.0,1573.8199999999997,0.0,0.0,83.33000000000001,0.0,0.0,273.66
39,2010-06-09,8,195.0,205.83000000000004,742.3299999999999,77.59000000000003,155.05000000000007,0.0,206.59,25.0,0.0,804.96,286.0,0.0,14.0,-189.0,0.0,-158.0,-989.0
40,2010-06-10,9,663.0,-27.260000000000005,231.99,-472.74000000000007,-1679.9800000000002,-100.0,-100.0,168.27999999999997,-400.0,-400.0,997.5100000000001,-300.0,-100.0,-2.260000000000005,-600.0,-400.0,276.72
41,2010-06-11,4,1221.0,-164.85999999999996,-453.82000000000005,484.14000000000004,1365.18,0.0,0.0,79.09,0.0,0.0,-126.57,0.0,0.0,296.09000000000003,0.0,0.0,741.4300000000001
42,2010-06-12,10,1921.0,-57.58000000000006,-636.6600000000004,-69.80000000000001,-314.21000000000004,171.05,-100.0,-19.799999999999997,258.77,-100.0,328.25,171.05,-100.0,-209.09,258.77,-100.0,-618.1800000000001
43,2010-06-13,5,583.0,-81.94999999999999,50.34000000000006,13.359999999999982,733.28,116.0,81.3,198.20999999999998,116.0,243.9,696.41,-100.0,-100.0,-200.0,-100.0,-300.0,-100.0
44,2010-06-14,1,260.0,35.97,179.86,-100.0,-500.0,0.0,92.59,0.0,0.0,462.96,0.0,0.0,-100.0,0.0,0.0,-500.0,0.0
45,2010-06-15,4,306.0,-39.14999999999999,197.92000000000007,191.85000000000002,428.9200000000001,87.72,-100.0,198.04000000000002,438.6,0.0,496.08000000000004,87.72,-300.0,0.0,438.6,-1000.0,100.0
46,2010-06-16,7,2815.0,-1524.8799999999999,-6723.49,1779.8200000000002,6603.91,84.75,90.91,-1192.18,423.73,181.82,-1387.45,84.75,-100.0,-2000.0,423.73,-200.0,-3400.0
47,2010-06-17,6,744.0,-21.19999999999999,833.8200000000002,231.06,855.0,0.0,0.0,-196.0,0.0,0.0,-288.0,0.0,0.0,-27.53,0.0,0.0,26.700000000000045
48,2010-06-18,5,1060.0,-425.98,-1386.62,164.1,328.46000000000004,0.0,-100.0,102.0,0.0,-200.0,204.0,0.0,83.33,102.0,0.0,166.67,204.0
49,2010-06-19,8,753.0,158.7199999999999,869.6100000000001,367.03,466.28,78.74,211.0,74.04,236.22,633.0,137.35000000000002,78.74,0.0,89.29000000000002,236.22,0.0,367.86
50,2010-06-20,8,682.0,262.38,789.41,120.26999999999998,1220.46,0.0,-7.409999999999997,3.9099999999999966,0.0,62.95999999999998,-5.180000000000007,0.0,-23.08,207.91,0.0,-192.31,198.82
51,2010-06-21,1,127.0,74.07,370.37,-100.0,-500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,2010-06-22,3,11.0,-105.14,87.99000000000001,424.04999999999995,1404.25,0.0,92.92,-16.67,0.0,146.77,-116.67,0.0,120.0,-24.239999999999995,0.0,24.0,51.52000000000001
53,2010-06-23,9,-312.0,5.480000000000018,331.33000000000004,439.46000000000004,675.31,176.78,-300.0,85.75999999999999,334.26,-500.0,501.52,-21.260000000000005,-115.25,79.55,136.22,-315.25,-135.26000000000005
