"date","matchup","ID","name.x","label","slug.y","name.y","field_type","state","longitude","attendance","broadcast","daytime","duration","temperature","temperature_unit","weather_conditions","wind_direction","wind_speed","wind_speed_unit","at_bats","balks","batting_average","caught_stealing","complete_games","double_plays","doubles","earned_run_average","earned_runs_against","errors_made","games_lost","games_played","games_won","grounded_into_double_plays","hit_batters","hit_by_pitch","hits","home_runs","intentional_walks","intentional_walks_against","left_on_base","on_base_percentage","on_base_plus_slugging","outs_pitched","passed_balls","pickoffs","rlisp_two_out","runs","runs_batted_in","runs_inning_1","runs_inning_2","runs_inning_3","runs_inning_4","runs_inning_5","runs_inning_6","runs_inning_7","runs_inning_8","runs_inning_9","runs_inning_10","runs_inning_11","runs_inning_12","runs_inning_13","runs_inning_14","runs_inning_15","runs_inning_16","runs_inning_17","runs_inning_18","runs_inning_19","runs_inning_20","runs_inning_21","runs_inning_22","runs_inning_23","runs_inning_24","runs_inning_extra","sacrifice_flys","sacrifice_hits","saves","shutouts","slugging_percentage","stolen_bases","strikeouts","team_left_on_base","total_bases","triple_plays","triples","two_out_left_on_base","walks","whip","wild_pitches"
2016-05-29,"NYY-TB","NYY-TB-2016-05-29","Yankees vs Rays May 29, 2016 at  1:10pm","Yankees vs Rays","mlb-tb","Tropicana Field","turf","FL",-82.6533237,19748,"Sun Sports",TRUE,9900,NA,NA,"indoors",NA,NA,NA,34,0,0.176,0,0,1,1,2,2,1,1,0,0,0,0,0,6,0,0,0,17,0.222,0.428,27,0,0,4,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.206,0,14,8,7,0,0,4,2,0.222,0
2016-03-07,"TB-BOS","TB-BOS-2016-03-07","Rays vs Red Sox March  7, 2016 at  1:05pm","Rays vs Red Sox","mlb-tb","JetBlue Park","grass","FL",NA,NA,"",TRUE,NA,74,"f","cloudy","In from Right",10,"mph",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,3,NA,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA
2016-05-23,"TB-MIA","TB-MIA-2016-05-23","Rays vs Marlins May 23, 2016 at  7:10pm","Rays vs Marlins","mlb-tb","Marlins Park","grass","FL",-80.2214982,17969,"FS-F",FALSE,11460,75,"f","indoors","None",0,"mph",37,0,0.324,0,0,2,2,7.875,7,0,1,0,0,0,0,0,12,2,0,0,17,0.405,0.946,24,0,0,4,6,6,2,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.541,0,7,9,20,0,0,4,5,2.125,0
2016-06-30,"DET-TB","DET-TB-2016-06-30","Tigers vs Rays June 30, 2016 at  7:10pm","Tigers vs Rays","mlb-tb","Tropicana Field","turf","FL",-82.6533237,10729,"Sun Sports",FALSE,12300,NA,NA,"indoors",NA,NA,NA,38,0,0.368,0,0,3,6,10,10,0,1,0,0,2,0,0,14,0,0,0,13,0.39,0.916,27,0,0,5,7,7,1,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.526,1,5,7,20,0,0,5,2,1.778,1
2016-06-14,"SEA-TB","SEA-TB-2016-06-14","Mariners vs Rays June 14, 2016 at  7:10pm","Mariners vs Rays","mlb-tb","Tropicana Field","turf","FL",-82.6533237,11455,"Sun Sports",FALSE,11520,NA,NA,"indoors",NA,NA,NA,34,0,0.294,0,0,1,0,7,7,0,0,0,1,0,0,0,10,3,0,0,9,0.368,0.986,27,0,0,2,8,7,0,2,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.618,0,11,6,21,0,1,2,4,1.889,0
2016-07-02,"DET-TB","DET-TB-2016-07-02","Tigers vs Rays July  2, 2016 at  4:10pm","Tigers vs Rays","mlb-tb","Tropicana Field","turf","FL",-82.6533237,17861,"Sun Sports",TRUE,10380,NA,NA,"indoors",NA,NA,NA,28,0,0.179,0,0,0,1,3,3,1,1,0,0,1,0,1,5,0,0,0,5,0.219,0.433,27,0,1,1,2,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.214,0,9,3,6,0,0,1,1,1.111,1
2016-09-21,"NYY-TB","NYY-TB-2016-09-21","Yankees vs Rays September 21, 2016 at  7:10pm","Yankees vs Rays","mlb-tb","Tropicana Field","turf","FL",-82.6533237,12192,"Fox  Sports Sun",FALSE,11160,NA,NA,NA,NA,NA,NA,34,0,0.235,0,0,0,1,11,11,0,1,0,0,1,0,0,8,5,0,0,7,0.278,0.984,27,0,0,0,5,5,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.706,0,0,4,24,0,0,2,2,2.222,0
2016-07-17,"BAL-TB","BAL-TB-2016-07-17","Orioles vs Rays July 17, 2016 at  1:10pm","Orioles vs Rays","mlb-tb","Tropicana Field","turf","FL",-82.6533237,16161,"Sun Sports",TRUE,9120,NA,NA,NA,NA,NA,NA,29,0,0.207,0,0,0,0,2,2,0,0,0,1,1,0,0,6,4,0,0,10,0.303,0.924,27,0,0,0,5,5,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.621,0,0,4,18,0,0,2,4,1,1
2016-09-15,"TB-BAL","TB-BAL-2016-09-15","Rays vs Orioles September 15, 2016 at  7:05pm","Rays vs Orioles","mlb-tb","Oriole Park at Camden Yards","grass","MD",-76.6206139,19233,"MASN",FALSE,12420,NA,NA,NA,NA,NA,NA,38,0,0.316,0,0,1,4,6,6,1,0,0,1,1,0,0,12,1,0,0,16,0.366,0.866,27,0,0,0,7,7,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.5,1,0,7,19,0,0,3,3,1.556,0
2016-05-17,"TB-TOR","TB-TOR-2016-05-17","Rays vs Blue Jays May 17, 2016 at  7:07pm","Rays vs Blue Jays","mlb-tb","Rogers Centre","turf","ON",-79.3921899,27521,"SNET",FALSE,9780,NA,NA,"indoors",NA,NA,NA,45,0,0.378,0,0,2,5,2,2,0,0,0,1,1,0,0,17,1,0,0,19,0.417,1.017,27,0,0,4,12,11,1,3,1,0,2,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,1,4,9,27,0,1,4,3,1,0
2016-07-16,"BAL-TB","BAL-TB-2016-07-16","Orioles vs Rays July 16, 2016 at  6:10pm","Orioles vs Rays","mlb-tb","Tropicana Field","turf","FL",-82.6533237,18638,"Sun Sports",FALSE,9180,NA,NA,NA,NA,NA,NA,30,0,0.133,1,0,1,1,2,2,0,1,0,0,0,0,0,4,0,0,1,10,0.212,0.445,27,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.233,0,0,5,7,0,1,1,3,1,0
2016-03-08,"TB-DET","TB-DET-2016-03-08","Rays vs Tigers March  8, 2016 at  1:05pm","Rays vs Tigers","mlb-tb","Joker Marchant Stadium","grass","FL",NA,NA,"FS-D",TRUE,NA,79,"f","cloudy","Right to Left",14,"mph",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-09-27,"TB-CHW","TB-CHW-2016-09-27","Rays vs White Sox September 27, 2016 at  7:10pm","Rays vs White Sox","mlb-tb","Guaranteed Rate Field","grass","IL",-87.6349872,14798,"CSN-C+",FALSE,10620,NA,NA,NA,NA,NA,NA,39,0,0.282,0,0,0,3,12.375,11,1,1,0,0,0,0,1,11,1,0,0,16,0.3,0.787,24,0,0,0,6,6,0,2,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.487,0,0,7,19,0,1,5,0,2.375,0
2016-09-04,"TOR-TB","TOR-TB-2016-09-04","Blue Jays vs Rays September  4, 2016 at  1:10pm","Blue Jays vs Rays","mlb-tb","Tropicana Field","turf","FL",-82.6533237,13884,"Fox  Sports Sun",TRUE,11880,NA,NA,NA,NA,NA,NA,34,0,0.235,0,0,0,1,5,5,0,1,0,0,0,0,0,8,0,0,0,11,0.27,0.535,27,0,0,0,3,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.265,0,0,7,9,0,0,3,2,1.556,2
2016-06-24,"TB-BAL","TB-BAL-2016-06-24","Rays vs Orioles June 24, 2016 at  7:05pm","Rays vs Orioles","mlb-tb","Oriole Park at Camden Yards","grass","MD",-76.6206139,44956,"MASN",FALSE,11220,72,"f","cloudy","Out to Center",6,"mph",32,0,0.281,1,0,0,3,6.75,6,1,1,0,0,1,0,0,9,1,0,0,11,0.343,0.812,24,1,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.469,0,6,5,15,0,0,3,3,1.125,0
